Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
HPD IGBT 750V820A ST_IGBTMaximum Rated Values,Collector-emitter voltage,Tj = 25°C,VCES,750,,,,V,可可,2024070211580100,,v0702_1
HPD IGBT 750V820A ST_IGBTMaximum Rated Values,Gate-emitter peak voltage,,VGES,±20,,,,V,,,,
HPD IGBT 750V820A ST_IGBTMaximum Rated Values,Implemented collector current,,ICN,820,,,,A,,,,
HPD IGBT 750V820A ST_IGBTMaximum Rated Values,Continuous DC collector current,"TF = 70°C, Tj,max = 175°C",IC nom,450,,,,A,,,,
HPD IGBT 750V820A ST_IGBTMaximum Rated Values,Repetitive peak collector current,tp = 1 ms,ICRM,1640,,,,A,,,,
HPD IGBT 750V820A ST_IGBTMaximum Rated Values,Maximum junction temperature,,"Tj,max",175,,,,oC,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 450A, VGE = 15V,Tj = 25°C","VGE,th",,,1.15,1.45,V,花花,2024070211580100,,v0702_1
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 450A, VGE = 15V,Tj = 150°C","VGE,th",,,1.25,1.45,V,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 450A, VGE = 15V,Tj = 175°C","VGE,th",,,1.3,1.45,V,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 820A, VGE = 15V,Tj = 25°C","VGE,th",,,1.4,,V,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 820A, VGE = 15V,Tj = 150°C","VGE,th",,,1.6,,V,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter saturation voltage,"IC = 820A, VGE = 15V,Tj = 175°C","VGE,th",,,1.7,,V,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Gate threshold voltage,"IC = 9.6 mA, VCE = VGE, Tj =25°C","VGE,th",,5.1,5.7,6.5,V,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Gate threshold voltage,"IC = 9.6 mA, VCE = VGE, Tj =150°C","VGE,th",,5.1,4.2,6.5,V,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Gate threshold voltage,"IC = 9.6 mA, VCE = VGE, Tj =175°C","VGE,th",,5.1,3.95,6.5,V,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter cut-off current,"VCE = 750V, VGE = 0V, Tj =25°C",ICES,,,,1,mA,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter cut-off current,"VCE = 750V, VGE = 0V, Tj =150°C",ICES,,,,5,mA,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Collector-emitter cut-off current,"VCE = 750V, VGE = 0V, Tj =175°C",ICES,,,,10,mA,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Gate-emitter leakage current,"VCE = 0V, VGE = 20V, Tj =25°C",IGES,,,,400,nA,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Gate charge,"VGE = -8V / + 15 V, Tj =25°C",QG,,,1.8,,μC,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Gate charge,"IC = 450A, VCE = 400V, Tj=25°C",QG,,,1.8,,μC,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Internal gate resistance,Tj =25°C,"RG,int",,,1.7,,Ω,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Input capacitance,"f = 100kHz, VCE = 50V, Tj=25°C",Cies,,,45,,nF,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Input capacitance,"VGE = 0V, Tj=25°C",Cies,,,45,,nF,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Output capacitance,"f = 100kHz, VCE = 50V, Tj=25°C",Coes,,,2.8,,nF,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Output capacitance,"VGE = 0V, Tj=25°C",Coes,,,2.8,,nF,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Reverse transfer capacitance,"f = 100kHz, VCE = 50V, Tj=25°C",Cres,,,1.5,,nF,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Reverse transfer capacitance,"VGE = 0V, Tj=25°C",Cres,,,1.5,,nF,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Turn-on delay time, inductive load","IC = 450A, VCE = 400V, Tj=25°C",td(on),,,0.14,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Turn-on delay time, inductive load","VGE = -8V / + 15 V, Tj =150°C",td(on),,,0.11,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Turn-on delay time, inductive load","RG,on = 2.5 Ω, Tj =175°C",td(on),,,0.11,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Rise time, inductive load","IC = 450A, VCE = 400V, Tj=25°C",tr,,,0.069,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Rise time, inductive load","VGE = -8V / + 15 V, Tj =150°C",tr,,,0.07,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Rise time, inductive load","RG,on = 2.5 Ω, Tj =175°C",tr,,,0.072,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-on energy loss per pulse,"IC = 450A, VCE = 400V, Tj=25°C",Eon,,,13.5,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-on energy loss per pulse,"LS = 30nH, Tj =150°C",Eon,,,15.5,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-on energy loss per pulse,"VGE = -8V / + 15 V, Tj =175°C",Eon,,,17.5,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-on energy loss per pulse,"RG,on = 2.5 Ω",Eon,,,,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-on energy loss per pulse,di/dt = 5.5 A/ns (25°C),Eon,,,,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-on energy loss per pulse,di/dt = 5.1 A/ns (150°C),Eon,,,,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Turn-off delay time, inductive load","IC = 450A, VCE = 400V, Tj=25°C",td(off),,,0.55,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Turn-off delay time, inductive load","VGE = -8V / + 15 V, Tj =150°C",td(off),,,0.56,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Turn-off delay time, inductive load","RG,off = 5.0 Ω, Tj =175°C",td(off),,,0.57,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Fall time, inductive load","IC = 450A, VCE = 400V, Tj=25°C",tf,,,0.27,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Fall time, inductive load","VGE = -8V / + 15 V, Tj =150°C",tf,,,0.42,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Fall time, inductive load","RG,off = 5.0 Ω, Tj =175°C",tf,,,0.45,,μs,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-off energy loss per pulse,"IC = 450A, VCE = 400V, Tj=25°C",Eoff,,,35.5,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-off energy loss per pulse,"LS = 30nH, Tj =150°C",Eoff,,,45.5,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-off energy loss per pulse,"VGE = -8V / + 15 V, Tj =175°C",Eoff,,,50.5,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-off energy loss per pulse,"RG,off = 5.0 Ω",Eoff,,,,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-off energy loss per pulse,dv/dt = 2.5 V/ns (25°C),Eoff,,,,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Turn-off energy loss per pulse,dv/dt = 2.2 V/ns (150°C),Eoff,,,,,mJ,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Short circuit current,"VGE = 15 V, VCC = 400V, Tj=25°C",ISC,,,4800,,A,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Short circuit current,"tp = 6 μs, Tj=175°C",ISC,,,3800,,A,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Short circuit current,tp = 3 μs,ISC,,,,,A,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Thermal resistance, junction to cooling fluid",Per IGBT,"Rth,JF",,,0.12,0.14,K/W,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Thermal resistance, junction to cooling fluid",dV/dT = 10 dm3/min ,"Rth,JF",,,0.12,0.14,K/W,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,"Thermal resistance, junction to cooling fluid",TF = 70°C,"Rth,JF",,,0.12,0.14,K/W,,,,
HPD IGBT 750V820A ST_IGBTCharacteristics Values,Operated temperature condition,,"Tj,op",,-40,,150,°C,,,,
HPDIGBT 750V820A ST_DIODEMaximum Rated Values,Repetitive peak reverse voltage,Tj = 25°C,VRRM,750,,,,V,孫小美,2024070211580100,,v0702_1
HPDIGBT 750V821A ST_DIODEMaximum Rated Values,Implemented forward current,,IFN,820,,,,A,,,,
HPDIGBT 750V822A ST_DIODEMaximum Rated Values,Continuous DC forward current,"TF = 70°C, Tj,max = 175°C",IF,450,,,,A,,,,
HPDIGBT 750V823A ST_DIODEMaximum Rated Values,Repetitive peak forward current,tp = 1 ms,IFRM,1640,,,,A,,,,
HPDIGBT 750V824A ST_DIODEMaximum Rated Values,Forward voltage,"IF = 450A, VGE = 0V,Tj = 25°C",VF,,,1.45,1.65,V,金貝貝,2024070211580100,,v0702_1
HPDIGBT 750V825A ST_DIODEMaximum Rated Values,Forward voltage,"IF = 450A, VGE = 0V,Tj = 150°C",VF,,,1.5,1.65,V,,,,
HPDIGBT 750V826A ST_DIODEMaximum Rated Values,Forward voltage,"IF = 450A, VGE = 0V,Tj = 175°C",VF,,,1.55,1.65,V,,,,
HPDIGBT 750V827A ST_DIODEMaximum Rated Values,Forward voltage,"IF = 820A, VGE = 0V,Tj = 25°C",VF,,,1.8,,V,,,,
HPDIGBT 750V828A ST_DIODEMaximum Rated Values,Forward voltage,"IF = 820A, VGE = 0V,Tj = 150°C",VF,,,1.85,,V,,,,
HPDIGBT 750V829A ST_DIODEMaximum Rated Values,Forward voltage,"IF = 820A, VGE = 0V,Tj = 175°C",VF,,,1.9,,V,,,,
HPDIGBT 750V830A ST_DIODEMaximum Rated Values,Peak reverse recovery current,"IF = 450A, VGE = 400V,Tj = 25°C",IRM,,,225,,A,,,,
HPDIGBT 750V831A ST_DIODEMaximum Rated Values,Peak reverse recovery current,"VGE = -8V,Tj = 150°C",IRM,,,275,,A,,,,
HPDIGBT 750V832A ST_DIODEMaximum Rated Values,Peak reverse recovery current,"–diF/dt = 5.0 A/ns (25°C),Tj = 175°C",IRM,,,290,,A,,,,
HPDIGBT 750V833A ST_DIODEMaximum Rated Values,Peak reverse recovery current,–diF/dt = 4.1 A/ns (150°C),IRM,,,,,A,,,,
HPDIGBT 750V834A ST_DIODEMaximum Rated Values,Recovered charge,"IF = 450A, VR = 400V, Tj = 25°C",Qrr,,,14,,μC,,,,
HPDIGBT 750V835A ST_DIODEMaximum Rated Values,Recovered charge,"VGE = -8V, Tj = 150°C",Qrr,,,26.5,,μC,,,,
HPDIGBT 750V836A ST_DIODEMaximum Rated Values,Recovered charge,"–diF/dt = 5.0 A/ns (25°C),Tj = 175°C",Qrr,,,31,,μC,,,,
HPDIGBT 750V837A ST_DIODEMaximum Rated Values,Recovered charge,–diF/dt = 4.1 A/ns (150°C),Qrr,,,,,μC,,,,
HPDIGBT 750V838A ST_DIODEMaximum Rated Values,Reverse recovery energy,"IF = 450A, VR = 400V, Tj = 25°C",Erec,,,3.5,,mJ,,,,
HPDIGBT 750V839A ST_DIODEMaximum Rated Values,Reverse recovery energy,"VGE = -8V, Tj = 150°C",Erec,,,8.3,,mJ,,,,
HPDIGBT 750V840A ST_DIODEMaximum Rated Values,Reverse recovery energy,"–diF/dt = 5.0 A/ns (25°C),Tj = 175°C",Erec,,,9.6,,mJ,,,,
HPDIGBT 750V841A ST_DIODEMaximum Rated Values,Reverse recovery energy,–diF/dt = 4.1 A/ns (150°C),Erec,,,,,mJ,,,,
HPDIGBT 750V842A ST_DIODEMaximum Rated Values,"Thermal resistance, junction to cooling fluid",Per diode,"Rth,JF",,,0.175,0.2,K/W,,,,
HPDIGBT 750V843A ST_DIODEMaximum Rated Values,"Thermal resistance, junction to cooling fluid",dV/dT = 10 dm3/min,"Rth,JF",,,0.175,0.2,K/W,,,,
HPDIGBT 750V844A ST_DIODEMaximum Rated Values,"Thermal resistance, junction to cooling fluid",TF = 70°C,"Rth,JF",,,0.175,0.2,K/W,,,,
HPDIGBT 750V820A ST_NTC-Thermistor,Rated resistance,Tc = 25°C,R25,,,5,,kΩ,鴨立大,2024070211580100,,v0702_1
HPDIGBT 750V820A ST_NTC-Thermistor,Resistance tolerance,"Tc = 100°C, R100 = 493 Ω",ΔR/R,,-5,,5,%,,,,
HPDIGBT 750V820A ST_NTC-Thermistor,B-value,R2 = R25 exp [B25/50(1/T2 – 1/(298 K))],B25/50,,,3375,,K,,,,
HPDIGBT 750V820A ST_NTC-Thermistor,B-value,R2 = R25 exp [B25/80(1/T2 – 1/(298 K))],B25/80,,,3411,,K,,,,
HPDIGBT 750V820A ST_NTC-Thermistor,B-value,R2 = R25 exp [B25/100(1/T2 – 1/(298 K))],B25/100,,,3433,,K,,,,
HPDIGBT 750V820A ST_Module,Isolation test voltage,"RMS, f = 0 Hz, t = 1 sec",VISOL,4.2,,,,kV,部佳斑,2024070211580100,,v0702_1
HPDIGBT 750V820A ST_Module,Module baseplate material,,,Cu + Ni,,,,,,,,
HPDIGBT 750V820A ST_Module,Module internal isolation material,"Basic isolation (class 1, IEC 61140)",,Al2O3,,,,,,,,
HPDIGBT 750V820A ST_Module,Creepage distance,Terminal to heatsink,"dCreep,TH",9,,,,mm,,,,
HPDIGBT 750V820A ST_Module,Creepage distance,Terminal to terminal,"dCreep,TT",9,,,,mm,,,,
HPDIGBT 750V820A ST_Module,Clearance distance,Terminal to heatsink,"dClear,TH",4.5,,,,mm,,,,
HPDIGBT 750V820A ST_Module,Clearance distance,Terminal to terminal,"dClear,TT",4.5,,,,mm,,,,
HPDIGBT 750V820A ST_Module,Comparative tracking index 1),,CTI,> 200,,,,,,,,
HPDIGBT 750V820A ST_Module,Module stray inductance,,LsCE,,,7,,nH,,,,
HPDIGBT 750V820A ST_Module,Storage temperature,,Tstg,-40,,,125,°C,,,,
HPDIGBT 750V820A ST_Module,Mounting torque for module,Screw M4 baseplate to heatsink,M,1.8,,2,,Nm,,,,
HPDIGBT 750V820A ST_Module,mounting,Screw M4 baseplate to heatsink,M,1.8,,2,,Nm,,,,
HPDIGBT 750V820A ST_Module,Weight,,G,,,750,, g,,,,